,ROIs_long,ROIs_short,Codes,Side,Label
0,dorsolateral prefrontal cortex,DLP,2 32 33 45 46 47 48,L,DLP_L
1,ventrolateral prefrontal cortex,VLP,31 34 35 36 103,L,VLP_L
2,medial prefrontal cortex,MPC,8 9 25 26,L,MPC_L
3,orbitofrontal cortex,OFC,3 4 5 6 7 73 83 84,L,OFC_L
4,lateral temporal cortex,LTC,121 122,L,LTC_L
5,lateral parietal cortex,LPC,85 90,L,LPC_L
6,posterior cingulate area 23,PCA,12 13 14 15,L,PCA_L
7,primary motor cortex,M1,37 38,L,M1_L
8,primary somatosensory cortex,S1,1 29 30,L,S1_L
9,primary auditory cortex,A1,54,L,A1_L
10,primary visual cortex,V1,126,L,V1_L
11,secondary visual cortex,V2,127,L,V2_L
12,dorsolateral prefrontal cortex,DLP,1002 1032 1033 1045 1046 1047 1048,R,DLP_R
13,ventrolateral prefrontal cortex,VLP,1031 1034 1035 1036 1103,R,VLP_R
14,medial prefrontal cortex,MPC,1008 1009 1025 1026,R,MPC_R
15,orbitofrontal cortex,OFC,1003 1004 1005 1006 1007 1073 1083 1084,R,OFC_R
16,lateral temporal cortex,LTC,1121 1122,R,LTC_R
17,lateral parietal cortex,LPC,1090,R,LPC_R
18,posterior cingulate area 23,PCA,1012 1013 1014 1015,R,PCA_R
19,primary motor cortex,M1,1037 1038,R,M1_R
20,primary somatosensory cortex,S1,1001 1029 1030,R,S1_R
21,primary auditory cortex,A1,1054,R,A1_R
22,primary visual cortex,V1,1126,R,V1_R
23,secondary visual cortex,V2,1127,R,V2_R
